party_id,country,abbrev,name,name_english,family
43811,Switzerland,BDP/PBD,Bürgerlich-Demokratische Partei Schweiz/Parti Bourgeois Démocratique Suisse,Conservative Democratic Party of Switzerland,centre-right
43901,Switzerland,LdT,Lega dei Ticinesi,Ticino League,far-right
51110,United Kingdom,GPEW,Green Party of England and Wales,Green Party of England and Wales,green
51210,United Kingdom,SF,Sinn Féin,We Ourselves,unknown
51320,United Kingdom,Labour,Labour Party,Labour Party,centre-left
51340,United Kingdom,SDLP,Social Democratic and Labour Party,Social Democratic and Labour Party,centre-left
51421,United Kingdom,LibDems,Liberal Democrats,Liberal Democrats,liberal
51430,United Kingdom,Alliance,Alliance Party of Northern Ireland,Alliance Party of Northern Ireland,centre-left
51620,United Kingdom,Conservatives,Conservative Party,Conservative Party,centre-right
51621,United Kingdom,UUP,Ulster Unionist Party,Ulster Unionist Party,centre-right
51701,United Kingdom,NA,Reform UK,Reform UK,far-right
51901,United Kingdom,PC,Plaid Cymru,The Party of Wales,centre-left
51902,United Kingdom,SNP,Scottish National Party,Scottish National Party,centre-left
51903,United Kingdom,DUP,Democratic Unionist Party,Democratic Unionist Party,centre-right
51904,United Kingdom,TUV,Traditional Unionist Voice,Traditional Unionist Voice,far-right
53110,Ireland,Greens,Green Party/Comhaontas Glas,Green Party,green
53231,Ireland,PBP,People Before Profit,People Before Profit,unknown
53320,Ireland,Labour,Páirti Lucht Oibre,Labour Party,centre-left
53321,Ireland,NA,Social Democrats,Social Democrats,unknown
53520,Ireland,NA,Fine Gael,Family of the Irish,centre-right
53620,Ireland,NA,Fianna Fáil,Soldiers of Destiny,centre-right
53951,Ireland,SF,Sinn Féin,We Ourselves,unknown
53952,Ireland,NA,Aontú,Unite,unknown
54320,Malta,PL,Partit Laburista,Labour Party,centre-left
54620,Malta,PN,Partit Nazzjonalista,Nationalist Party,centre-right
75220,Albania,PSSh,Partia Socialiste e Shqipërisë,Albanian Socialist Party,centre-left
75230,Albania,PL,Partia e Lirisë,Freedom Party of Albania,centre-left
75624,Albania,PD,Partia Demokratike e Shqipërisë,Democratic Party of Albania,centre-right
79030,Bosnia-Herzegovina,DF-GS,Demokratska Fronta - Građanski Savez,Democratic Front - Civic Alliance,centre-left
